City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Luena,-11.7833,19.9167,299.49,18,7,2.52,AO,1657451091
Hong Kong,22.2855,114.1577,305.35,75,32,4.47,HK,1657451091
Syriam,16.7722,96.2378,300.21,94,100,3.09,MM,1657450922
Lüderitz,-26.6481,15.1594,288.62,71,23,3,NA,1657451091
San Quintín,30.4833,-115.95,291.87,90,15,4.47,MX,1657451091
Ushuaia,-54.8,-68.3,273.96,75,75,8.75,AR,1657451092
The Pas,53.8251,-101.2541,288.02,92,73,2.72,CA,1657451092
Lebu,-37.6167,-73.65,280.79,89,17,3.22,CL,1657451092
Port Alfred,-33.5906,26.891,291.58,73,50,1.79,ZA,1657451092
Nikolskoye,59.7035,30.7861,298.55,64,99,4.03,RU,1657451092
Warsaw,52.2298,21.0118,294.72,59,40,7.72,PL,1657450988
Opuwo,-18.0607,13.84,297.44,24,0,3.01,NA,1657451092
Yellowknife,62.456,-114.3525,284.61,95,53,1.05,CA,1657451092
Jamestown,42.097,-79.2353,284.66,82,1,0.89,US,1657450827
Rikitea,-23.1203,-134.9692,295.64,79,100,0.37,PF,1657451092
Yuza,39,139.9167,296.53,87,1,1.78,JP,1657451092
Barrow,71.2906,-156.7887,279.16,81,0,3.6,US,1657450938
Havøysund,70.9963,24.6622,284.28,76,16,6.05,NO,1657451093
Jalu,29.0331,21.5482,306.52,27,0,6.71,LY,1657451093
Hermanus,-34.4187,19.2345,286.31,91,100,4.16,ZA,1657451082
Don Sak,9.3168,99.6918,302.12,77,100,7.6,TH,1657451009
Arrondissement du Havre,49.5833,0.3333,301.04,60,0,5.14,FR,1657450804
College,64.8569,-147.8028,290.12,93,100,2.57,US,1657451093
Cidreira,-30.1811,-50.2056,289.1,89,31,3.64,BR,1657450927
The Valley,18.217,-63.0578,300.98,80,22,9.06,AI,1657451093
Syracuse,37.0881,15.2792,301.8,50,0,4.82,IT,1657450998
Nichinan,31.6,131.3667,299.26,89,88,0.59,JP,1657451094
Los Llanos de Aridane,28.6585,-17.9182,298.01,57,0,6.17,ES,1657451094
Ahipara,-35.1667,173.1667,287.04,77,100,2.41,NZ,1657451094
Berea,41.3662,-81.8543,290.64,80,0,1.54,US,1657451010
San Patricio,28.017,-97.5169,302.08,92,26,2.75,US,1657451094
Sobolevo,54.4299,31.8996,292.41,78,94,4.1,RU,1657451094
Punta Arenas,-53.15,-70.9167,270.21,80,20,4.12,CL,1657451094
Zhoucheng,35.9122,116.3117,299.32,76,90,6.44,CN,1657451094
Manavgat,36.7867,31.4431,302.5,59,0,5.35,TR,1657451095
Marawi,7.9986,124.2928,294.55,92,86,2.14,PH,1657451095
Albany,42.6001,-73.9662,286.79,81,0,1.38,US,1657451095
Merauke,-8.4667,140.3333,298.61,85,96,6.56,ID,1657451095
Jaen,38,-3.5,308.66,21,0,1.32,ES,1657451095
Upernavik,72.7868,-56.1549,276.95,87,29,1.93,GL,1657451095
Sandusky,41.3501,-83.1332,294.73,90,0,3.26,US,1657451095
New Norfolk,-42.7826,147.0587,281.99,80,67,1.38,AU,1657451095
Mahébourg,-20.4081,57.7,296.62,62,39,9.64,MU,1657451095
Esfarāyen,37.0765,57.5101,306.23,12,0,6.58,IR,1657451095
Mataura,-46.1927,168.8643,276.19,97,6,1.23,NZ,1657451096
